Diretório,Arquivo,Município,Zona Eleitoral,Local de Votação,Seção Eleitoral,Versão da aplicação,Turno da UE,Identificação do Modelo de Urna,Fase da UE,Serial de votação da MV
2022_2t_AM,o00407-0204600310778.logjez,02046,0031,1155,0778,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,A21AEB1C
2022_2t_AM,o00407-0204600310780.logjez,02046,0031,1155,0780,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,F306D6EF
2022_2t_AM,o00407-0204600310781.logjez,02046,0031,1171,0781,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,6C23D9AB
2022_2t_AM,o00407-0204600310784.logjez,02046,0031,1198,0784,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,ED5EB33B
2022_2t_AM,o00407-0204600310786.logjez,02046,0031,1198,0786,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,CCA8A195
2022_2t_AM,o00407-0204600310788.logjez,02046,0031,1198,0788,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,DBAB3544
2022_2t_AM,o00407-0204600310789.logjez,02046,0031,1201,0789,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,0867D7CD
2022_2t_AM,o00407-0204600310790.logjez,02046,0031,1201,0790,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,7BA3C0A7
2022_2t_AM,o00407-0204600310791.logjez,02046,0031,1201,0791,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,4FD04993
2022_2t_AM,o00407-0204600310792.logjez,02046,0031,1210,0792,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,006D393E
2022_2t_AM,o00407-0204600310794.logjez,02046,0031,1210,0794,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,ED09082C
2022_2t_AM,o00407-0204600310796.logjez,02046,0031,1228,0796,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,83A29852
2022_2t_AM,o00407-0204600310798.logjez,02046,0031,1236,0798,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,CC870DD1
2022_2t_AM,o00407-0204600310800.logjez,02046,0031,1252,0800,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,2D58A56D
2022_2t_AM,o00407-0204600310801.logjez,02046,0031,1260,0801,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,652FED3C
2022_2t_AM,o00407-0204600310802.logjez,02046,0031,1295,0802,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,900AB67A
2022_2t_AM,o00407-0204600310804.logjez,02046,0031,1309,0804,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,5F39EA97
2022_2t_AM,o00407-0204600310805.logjez,02046,0031,1317,0805,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,103D4DF0
2022_2t_AM,o00407-0204600310808.logjez,02046,0031,1333,0808,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,DDA8BA24
2022_2t_AM,o00407-0204600310809.logjez,02046,0031,1333,0809,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,6C7E0ADF
2022_2t_AM,o00407-0204600310810.logjez,02046,0031,1341,0810,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,1561ACA0
2022_2t_AM,o00407-0204600310811.logjez,02046,0031,1341,0811,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,41239AE4
2022_2t_AM,o00407-0204600310812.logjez,02046,0031,1350,0812,8.26.0.0 - Onça-pintada,1º turno,UE2015,Oficial,C4764B05
2022_2t_AM,o00407-0205400420001.logjez,02054,0042,1015,0001,8.26.0.0 - Onça-pintada,1º turno,UE2009,Oficial,43677D38
2022_2t_AM,o00407-0205400420002.logjez,02054,0042,1015,0002,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,A6AE3EA1
2022_2t_AM,o00407-0205400420003.logjez,02054,0042,1015,0003,8.26.0.0 - Onça-pintada,1º turno,UE2010,Oficial,FB98DDA7
